timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-05-27T18:24:56,codecarbon,d917047d-05ad-4e55-b8e4-d5f4c10fa799,132.72962355613708,0.0006760289924692,5.093278910591956e-06,52.5,20.62718265909221,11.716642856597902,0.0019354052086671,0.000744704206874,0.0004291849174577,0.0031092943329988,Spain,ESP,,,,Linux-5.15.0-107-generic-x86_64-with-glibc2.31,3.10.5,2.4.2,32,AMD Ryzen 9 3950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 2060,,,31.24438095092773,machine,N,1.0
2024-05-27T18:29:23,codecarbon,4fec0e08-9925-46fe-b738-03de3c4a370f,148.07973432540894,0.0007687474027196106,5.191442341666205e-06,52.5,20.808987243667072,11.716642856597902,0.002154814408222834,0.0009029798890499707,0.00047794450891796924,0.0035357388061907744,Spain,ESP,,,,Linux-5.15.0-107-generic-x86_64-with-glibc2.31,3.10.5,2.4.2,32,AMD Ryzen 9 3950X 16-Core Processor,1,1 x NVIDIA GeForce RTX 2060,,,31.244380950927734,machine,N,1.0
